date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:55:39	10390/10390	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Aug%202018%2015:25:32%20GMT	https://p.w3layouts.com/demos_new/template_demo/29-06-2017/event_registration_form-demo_Free/744047052/web/index.html	C:/Users/USER/Desktop/html/reg/p.w3layouts.com/demos_new/template_demo/29-06-2017/event_registration_form-demo_Free/744047052/web/index.html	(from )
20:55:40	999/999	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Aug%202018%2015:25:34%20GMT	https://p.w3layouts.com/robots.txt		(from )
20:55:40	13498/13498	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2019:00:07%20GMT	https://p.w3layouts.com/demos_new/template_demo/29-06-2017/event_registration_form-demo_Free/744047052/web/css/style.css	C:/Users/USER/Desktop/html/reg/p.w3layouts.com/demos_new/template_demo/29-06-2017/event_registration_form-demo_Free/744047052/web/css/style.css	(from https://p.w3layouts.com/demos_new/template_demo/29-06-2017/event_registration_form-demo_Free/744047052/web/index.html)
20:55:41	84345/84345	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2019:00:07%20GMT	https://p.w3layouts.com/demos_new/template_demo/29-06-2017/event_registration_form-demo_Free/744047052/web/js/jquery-2.1.4.min.js	C:/Users/USER/Desktop/html/reg/p.w3layouts.com/demos_new/template_demo/29-06-2017/event_registration_form-demo_Free/744047052/web/js/jquery-2.1.4.min.js	(from https://p.w3layouts.com/demos_new/template_demo/29-06-2017/event_registration_form-demo_Free/744047052/web/index.html)
20:55:43	40204/40204	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d22cc0f31063bee4c6331aaf9a3ad021%22	http://m.servedby-buysellads.com/monetization.js	C:/Users/USER/Desktop/html/reg/m.servedby-buysellads.com/monetization.js	(from https://p.w3layouts.com/demos_new/template_demo/29-06-2017/event_registration_form-demo_Free/744047052/web/index.html)
20:55:46	57777/57777	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a7dadf2-e1b1%22	http://publisher.eboundservices.com/dynamicAds/dynamicScript.js	C:/Users/USER/Desktop/html/reg/publisher.eboundservices.com/dynamicAds/dynamicScript.js	(from https://p.w3layouts.com/demos_new/template_demo/29-06-2017/event_registration_form-demo_Free/744047052/web/index.html)
20:55:46	35266/35266	---MC-	200	added ('OK')	text/javascript	date:Fri,%2018%20May%202018%2001:10:24%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/USER/Desktop/html/reg/www.google-analytics.com/analytics.js	(from https://p.w3layouts.com/demos_new/template_demo/29-06-2017/event_registration_form-demo_Free/744047052/web/index.html)
20:55:48	93100/93100	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	C:/Users/USER/Desktop/html/reg/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from https://p.w3layouts.com/demos_new/template_demo/29-06-2017/event_registration_form-demo_Free/744047052/web/index.html)
20:55:48	31771/31771	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2019:00:07%20GMT	https://p.w3layouts.com/demos_new/template_demo/29-06-2017/event_registration_form-demo_Free/744047052/web/css/jquery-ui.css	C:/Users/USER/Desktop/html/reg/p.w3layouts.com/demos_new/template_demo/29-06-2017/event_registration_form-demo_Free/744047052/web/css/jquery-ui.css	(from https://p.w3layouts.com/demos_new/template_demo/29-06-2017/event_registration_form-demo_Free/744047052/web/index.html)
20:55:50	450163/450163	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2019:00:07%20GMT	https://p.w3layouts.com/demos_new/template_demo/29-06-2017/event_registration_form-demo_Free/744047052/web/js/jquery-ui.js	C:/Users/USER/Desktop/html/reg/p.w3layouts.com/demos_new/template_demo/29-06-2017/event_registration_form-demo_Free/744047052/web/js/jquery-ui.js	(from https://p.w3layouts.com/demos_new/template_demo/29-06-2017/event_registration_form-demo_Free/744047052/web/index.html)
